file_path,label,politician,split,source,resolution
data/real/noboa/Daniel_Noboa_Real_crop_000_344m3lu.jpg,real,noboa,test,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_01-gettyimages-2153863899.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_2023-10-02T005137Z_310091152_RC2UJ3AQ4741_RTRMADP_3_ECUADOR-ELECTION-DEBATE.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_2025-04-14t020821z-537029695-rc2bxdajze7t-rtrmadp-3-ecuador-election-noboa.jpg,real,noboa,test,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_22c3a602114027c0d9a7493a22369567.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_330px-President_Daniel_Noboa_May_2025.jpg,real,noboa,val,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_661752.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_daniel-noboa-700x391-1.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_daniel-noboa-a.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_Daniel-Noboa-Azin.jpg,real,noboa,test,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_Daniel-Noboa-credit-presidency-of-Ecuador.jpg,real,noboa,val,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_daniel-noboa-ecuador.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_daniel-noboa-president-of-ecuador-speaks-during-an.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_Daniel-Noboa.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_Daniel_Noboa.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_daniel_noboa_azin.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_DANIEL_NOBOA_AZIN_SE_CONVIERTE_EN_EL_PRESIDENTE_MAS_JOVEN_DE_LA_HISTORIA_REPUBLICANA_DEL_PAIS23_DE_N.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_download.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_E3G5ZZRBMZASBKRJVHNRPYH3BM.jpg,real,noboa,test,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_ECUADOR-DANIEL_NOBOA_AZIN_SE_CONVIERTE_EN_EL_PRESIDENTE_MAS_JOVEN_DE_LA_HISTORIA_REPUBLICANA_DEL_PAI.jpg,real,noboa,val,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_f6f40bdd-5658-4157-bb7b-d3662bef8fca_0.jpg,real,noboa,val,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_foto-portada-1-1365x2048.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_IMG_1772.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_K2K6RH432VFDLG46YZNQ2TEJ7Q.jpg,real,noboa,train,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_PA4QTGLNYBFWPFVHFEULS265DI.jpg,real,noboa,val,web_scraping,512x512
data/real/noboa/Daniel_Noboa_Real_crop_photo_5069142328450592693_y.jpg,real,noboa,train,web_scraping,512x512
